Gamma1,t0,t,f,CompuTime_opt
8,0.001,-13209.89984369684,-11.008249863082863,3.987797633189053e-08,1728925093.9652703
9,0.0017782794100389,-6139.610863228989,-13.515929252552963,5.327490076980176e-08,1728925093.9653192
7,0.0031622776601683,-4579.640831892952,-11.07531035515728,3.604887306024684e-08,1728925093.9653914
6,0.0056234132519034,-2620.4121855923413,-11.150690145112856,3.4946253803096844e-08,1728925093.965453
3,0.01,-1617.5263108919314,-11.155353855172168,3.4198060741379026e-08,1728925093.9655216
4,0.0177827941003892,-492.7193961022232,-91.66872485622083,2.4163641703782863e-06,1728925093.9655929
5,0.0316227766016837,-295.7916252505272,-54.84877819214945,8.564739245712384e-07,1728925093.9656737
1,0.0562341325190349,-177.0127084327034,-33.00236936880557,3.039829751082277e-07,1728925093.965729
2,0.0999999999999999,-167.05143257824722,-11.136762158326228,2.8148583542778152e-08,1728925093.9657984
0,0.1778279410038923,-92.48447866184262,-11.098137162552447,3.049808763679766e-08,1728925093.9658074
17,0.3162277660168379,-59.74345975540405,-11.201898704135289,2.7767405709481808e-08,1728930252.5921483
14,0.5623413251903491,-59.09815495225402,-11.117474693987596,3.2290562573763344e-08,1728931058.8084886
16,1.0,-61.2879238709614,-11.491485725801311,1.6222589957175808e-08,1728931641.607733
19,1.7782794100389228,-63.86240581970161,-11.97420109118341,6.595266693717393e-09,1728931749.4707162
11,3.162277660168379,-62.20979056351231,-11.664335042241948,3.5942474994132345e-29,1728932043.6749158
13,5.62341325190349,-59.86298829915323,-11.224026670682113,1.972152263052529e-31,1728932246.8794928
15,10.0,-70.28530669404495,-13.177597384053415,7.888609052210118e-31,1728932291.717419
12,17.78279410038923,-42.790195940554575,-14.245623476959585,3.2818585809457144e-27,1728932378.313274
10,31.6227766016838,-24.267760571973724,-12.111551015318094,1.420043761463787e-15,1728932800.792497
18,56.23413251903491,-13.600743913748232,-12.05519098832726,2.2090131294503207e-10,1728935845.650841
20,100.0,-13.922371550061406,-12.3485381372613,7.89314170901996e-19,1728935934.8234603
25,177.82794100389228,-20.465887650559168,-20.0692239709542,2.8003703006075013e-19,1728936890.6722658
21,316.2277660168379,-13.93384027510875,-13.68108579605812,5.26458170151025e-13,1728937039.6019344
22,562.341325190349,-13.293280602431125,-13.011960666553728,1.9775726326489505e-13,1728937188.8167078
23,1000.0,-9.204959698424164,-9.017559362545107,2.96686668528223e-17,1728937506.4039268
24,1778.2794100389226,-9.412522430419878,-9.21579788208004,3.5356330889474208e-12,1728937544.942895
28,3162.277660168379,-7.637043973989749,-7.47150006096807,4.9111534816583175e-14,1728938341.1608794
27,5623.41325190349,-9.012679813504182,-8.307833301424942,2.5305824032814715e-11,1728938531.6868167
26,10000.0,-9.251715781688656,-8.561698067188221,4.6921516469771e-13,1728938550.807277
