P_max,Omega_1,Omega_2,Mu_plus,Mu_minus,Gamma_e,number_of_fails,ComputTime
0,0.007500810658655,0.1023611410118754,0.1024752423041432,-43.759730484569324,-39.83941276558842,0.001,6.0,1437.0907592773438
1,0.012977780757256,0.1229367094122264,0.1232158427681256,-35.56809316816809,-31.6807641062259,0.0017782794100389,2.0,756.2253212928772
2,0.0222027237654553,0.1478242375232539,0.148494276126864,-28.90247140992404,-25.060985129410607,0.0031622776601683,2.0,746.8218188285828
3,0.037399370303213,0.1780687583643903,0.1796409175318001,-23.46606954165341,-19.687483087773003,0.0056234132519034,2.0,718.5525271892548
4,0.0616777915350515,0.2150324588032464,0.2186280063063275,-19.01772512048972,-15.32420461342122,0.01,2.0,657.2370092868805
5,0.0988769943758266,0.2604693566430681,0.2684849803976027,-15.36419955914737,-11.783279666819372,0.0177827941003892,1.0,651.9038877487183
6,0.1527598902579418,0.3165789746837871,0.3340268388920228,-12.353624921395983,-8.917616449882775,0.0316227766016837,1.0,585.0314567089081
7,0.2252343583108124,0.3859296110549174,0.4231218296705228,-9.869930502124127,-6.613752463812224,0.0562341325190349,1.0,604.1772453784943
8,0.313806702778737,0.471060190982963,0.549067498463949,-7.827013134642148,-4.783786009668344,0.0999999999999999,0.0,480.02715373039246
9,0.4096597155398973,0.5733958864015787,0.7352427371587208,-6.163017076937104,-3.3569729295107504,0.1778279410038923,1.0,497.620187997818
10,0.4987689036507394,0.6907003419749651,1.0248362927706829,-4.835362704862645,-2.2728923311612723,0.3162277660168379,0.0,346.7720365524292
11,0.5674219388408455,0.8125846681407144,1.5021263548650097,-3.8159099185899104,-1.476171842681408,0.5623413251903491,0.0,314.8204879760742
12,0.6095915099059812,0.917773668937986,2.337344762652372,-3.0847205728211,-0.915320080414872,1.0,0.0,277.7552001476288
13,0.6298061674941959,0.9855242338621616,3.86035411397629,-2.6117631115530084,-0.543018314509766,1.7782794100389228,1.0,289.03298163414
14,0.6376362345489107,1.0169375614509115,6.650689781332599,-2.3364733440783723,-0.3124252409908296,3.162277660168379,1.0,289.3507616519928
15,0.640306869251512,1.0284984364794572,11.693892824618922,-2.1849794846130224,-0.177130158174796,5.62341325190349,1.0,232.62296557426453
16,0.6411706514567522,1.0323235845994143,20.71807127110765,-2.1023801347226687,-0.0998747878773248,10.0,0.0,217.5354945659637
17,0.6414452365678623,1.0335483902084106,36.79894733028166,-2.0570028731994823,-0.0562119148806321,17.78279410038923,0.0,178.03567481040955
18,0.6415321107235699,1.0339351305632285,65.41441608822441,-2.0318696219903005,-0.0316187966916506,31.6227766016838,1.0,242.85546684265137
19,0.6415595689585517,1.0340566709604242,116.3112824510196,-2.0178610250337448,-0.0177820912805819,56.23413251903491,0.0,236.9328970909119
20,0.6415682474395693,1.0340954915819511,206.82621530672688,-2.010025285450786,-0.0099998769892918,100.0,0.0,252.2866241931916
21,0.6415709906266696,1.0341078375884551,367.7905558289793,-2.005631300557216,-0.0056233912955651,177.82794100389228,1.0,390.7364161014557
22,0.6415718581968501,1.0341116670391248,654.031910787623,-2.003164837615147,-0.003162273633393,316.2277660168379,2.0,549.0396039485931
23,0.6415721331042308,1.0341127845786662,1163.0500661737822,-2.0017791446677204,-0.0017782787244752,562.341325190349,7.0,857.9784047603607
24,0.6415722188492088,1.0341133227240478,2068.2273261682494,-2.0010001814332585,-0.0009999998703911,1000.0,3.0,654.243007183075
25,0.6415720318121113,1.0341301996617491,3677.8851271282056,-2.000541990745617,-0.0005623413512801,1778.2794100389226,11.0,1303.966748714447
26,0.6415722551393,1.03411343835956,6540.3078,-2.000316226,-0.0003162277664461,3162.277660168379,156.0,20310.196105718613
27,0.6415722578712805,1.0341134585566083,11630.49477544282,-2.000177833859142,-0.00017782793921020308,5623.41325190349,127.0,17683.77798819542
28,0.5956877759780289,1.032390874161391,12333.18501216243,-2.003229725889596,-0.0001310250442441,10000.0,12.0,2869.9601209163666
