P_max,Omega_1,Omega_2,t,Gamma_e,number_of_fails,ComputTime
0.0011731144661608463,0.10279080903049463,0.04095435309589133,26.40274000026723,0.001,0.0,7.604840040206909
0.002064556269197903,0.12240842083787384,0.048808389713139846,22.46637396733746,0.0017782794100389228,0.0,7.714786529541016
0.0036148387717823815,0.14542162761352445,0.05806024473530377,19.190769905332832,0.0031622776601683794,0.0,7.650984525680542
0.00628096504721804,0.1726266964006632,0.06907081842988466,16.429052497663164,0.005623413251903491,0.0,7.0911641120910645
0.010790289336726835,0.20526928015326668,0.08241808320627136,14.060640480028269,0.01,0.0,7.031283855438232
0.018231685437030104,0.24521346967778707,0.09899517533692255,11.994391733023262,0.01778279410038923,0.0,6.616002321243286
0.030079754402532823,0.2951621590865071,0.12015382045125722,10.166608900667553,0.03162277660168379,0.0,6.446579933166504
0.04800213341606888,0.3589924970176872,0.14793679893410344,8.536160983076439,0.056234132519034905,0.0,6.56153416633606
0.07322863320360626,0.4422565113757415,0.18545035844448124,7.07916112884171,0.09999999999999999,0.0,5.849741458892822
0.10535453631393481,0.5529250669196264,0.23746058423948413,5.783973777883698,0.1778279410038923,0.0,5.968409061431885
0.14559447959354246,0.6945259379124264,0.30548069580786474,4.715371421705646,0.31622776601683794,0.0,5.662221431732178
0.17305351214406106,0.9075234460470136,0.4185085851041601,3.6654066018140306,0.5623413251903491,0.0,5.319440126419067
0.19317854680772373,1.1917932248282277,0.576670461461066,2.8390745243978976,1.0,0.0,5.03353214263916
0.19519811924938804,1.588978568328566,0.8129418025433621,2.16177375097668,1.7782794100389228,0.0,4.703287124633789
0.17885127633188644,2.1457647974398935,1.1681479055303585,1.6227090588205635,3.162277660168379,0.0,4.586628198623657
0.14970372972794369,2.9241782303352473,1.7017979366403382,1.2062938293641088,5.62341325190349,0.0,4.59621524810791
0.11580172088470149,4.001879343125729,2.4964679181343072,0.8937341251063654,10.0,0.0,4.743170261383057
0.0839128866426506,5.469724829080379,3.6594164705477947,0.6649443073590129,17.78279410038923,0.0,4.984603404998779
0.0577294925578049,7.435298387992077,5.322953581382818,0.500093434349505,31.622776601683796,0.0,5.308018207550049
0.038142522876317926,10.05151874825031,7.656915316525852,0.380968959211024,56.23413251903491,0.0,5.599874496459961
0.024414039851545194,13.562426082039234,10.90269016928944,0.2929811866794163,100.0,0.0,5.96944260597229
0.015233972637627565,18.325353735089333,15.406438822862944,0.22639132030581866,177.82794100389228,0.0,6.341741561889648
0.009310846754648407,24.826618088712294,21.646941880707423,0.17521806203437773,316.2277660168379,0.0,6.701305150985718
0.005595313620949564,33.72350627971694,30.278198695681688,0.1355997765519989,562.341325190349,0.0,6.6909356117248535
0.003316599683468213,45.909262735719174,42.19238250065072,0.10483968497891612,1000.0,0.0,4.968181848526001
0.0019442038922371145,62.60030173931222,58.605922910510394,0.08094773687276953,1778.2794100389226,0.0,5.25554347038269
0.0011295961653224767,85.45341999553438,81.17608717920729,0.062406820798540014,3162.277660168379,0.0,5.206235647201538
0.0006516607928343678,116.7240362434529,112.15899384308292,0.04804009221412135,5623.41325190349,1.0,5.225939750671387
0.00037383218833795737,159.48032324984484,154.62355654062264,0.03692733362186079,10000.0,1.0,5.37220025062561
