P_max,Omega_1,Omega_2,Mu1,Gamma_e,number_of_fails,ComputTime
0,0.3893193325525725,1.4624646699603152,0.0007641647463355,-1.000250166846814,0.001,0.0,201.0818386077881
1,0.3893193088324531,1.4624885603086986,0.0013588339753661,-1.0004641424409408,0.0017782794100389,0.0,217.6524302959442
2,0.3893192331920409,1.4624736935123313,0.0024163489649859,-1.0008500011824646,0.0031622776601683,0.0,170.0537531375885
3,0.3893189940714855,1.4624256520029637,0.0042969961010829,-1.001547403537944,0.0056234132519034,0.0,140.19038343429563
4,0.3893182375261795,1.462495024035355,0.007641390727677,-1.0027145722791455,0.01,0.0,178.00452303886414
5,0.389315843579797,1.4624419345546098,0.0135884774422938,-1.0048104713414947,0.0177827941003892,0.0,162.7420358657837
6,0.3893082655707077,1.4624625648703056,0.0241651691280715,-1.008572769981206,0.0316227766016837,0.0,161.6566517353058
7,0.389284248836014,1.4624762385580925,0.0429731227190774,-1.0151614283173012,0.0562341325190349,0.0,131.8891215324402
8,0.3892079530897991,1.4624740288026608,0.0764301872857239,-1.0266606467002453,0.0999999999999999,0.0,120.79073596000671
9,0.3889642054142342,1.462497458171346,0.1359764532733424,-1.0464654232348631,0.1778279410038923,0.0,104.5066511631012
10,0.3881746429950276,1.4633991424450516,0.2420520676601149,-1.0786767577949914,0.3162277660168379,0.0,84.09332180023193
11,0.3855385103021672,1.4717097324300576,0.4303414078596285,-1.1223084072617988,0.5623413251903491,0.0,75.1731059551239
12,0.3765835087591682,1.5345372284175904,0.748021014263252,-1.1354144533832713,1.0,0.0,79.87914443016052
13,0.3514853890512019,1.7756354892899204,1.2083201516135469,-1.031484717839206,1.7782794100389228,0.0,63.21914267539978
14,0.3049990600087615,2.2662141182309465,1.8338412873084355,-0.8483585143405541,3.162277660168379,0.0,62.65837359428406
15,0.2442668507936813,3.058981714175629,2.7152712706383326,-0.6604556038706488,5.62341325190349,0.0,52.607707023620605
16,0.1814761609960291,4.269197789004653,3.992076553877356,-0.4976296610412347,10.0,0.0,49.84838652610779
17,0.1263494870746793,6.089584124490199,5.866716305237247,-0.3667852051067185,17.78279410038923,0.0,58.104554176330566
18,0.0834045468065637,8.814848457212051,8.637935459953889,-0.2661503480784993,31.6227766016838,0.0,52.1037483215332
19,0.0527902078663495,12.88618331460768,12.748229307248028,-0.1909556030544279,56.23413251903491,0.0,72.03056716918945
20,0.0323552531948506,18.95966198966484,18.8542392316716,-0.1358875826087557,100.0,0.0,82.683518409729
21,0.0193590188538587,28.008493945447007,27.929515677181303,-0.0961263648223068,177.82794100389228,0.0,104.51614475250244
22,0.0113798404517538,41.47568855648114,41.41750969550596,-0.0677017673709858,316.2277660168379,0.0,131.66328358650208
23,0.0066040569227703,61.49923803858868,61.45696006494632,-0.047525284510049,562.341325190349,0.0,126.58374452590942
24,0.0037973106568918,91.24674600612067,91.21634685383066,-0.0332762023745646,1000.0,0.0,142.93629384040833
25,0.0021691072597487,135.41051648155724,135.38882663543046,-0.0232508622274947,1778.2794100389226,0.0,176.56200528144836
26,0.0012332662077203,200.57781748491757,200.56165848210105,-0.0162466016315678,3162.277660168379,0.0,218.7123773097992
27,0.0006988744624537,295.5901460922945,295.5767304498036,-0.0113915922782574,5623.41325190349,0.0,208.42890453338623
